date,in,out,total
2015-06-18,8:30,17:30,9
2015-06-19,8:30,17:00,8.5
2015-06-22,11:30,17:00,5.5
2015-06-23,12:00,18:00,6.5
2015-06-24,9:30,18:30,9
2015-06-25,9:30,18:30,9
2015-06-26,9:30,18:30,9
2015-06-29,9:00,17:30,8.5
2015-06-30,8:30,17:30,9
2015-07-1,8:30,17:00,8.5
2015-07-2,9:30,13:30,4
2015-07-6,9:30,16:00,6.5
2015-07-7,9:00,13:00,4
2015-07-10,9:30,16:00,6.5
2015-07-13,9:30,16:30,7
2015-07-14,9:30,17:30,8
2015-07-15,9:30,17:30,8
2015-07-16,9:30,16:00,6.5
2015-07-17,9:30,15:30,6
2015-07-21,9:30,17:30,8
2015-07-22,8:30,16:30,8
2015-07-23,9:30,16:30,6
2015-07-24,9:30,16:30,7
2015-07-27,9:30,17:30,8
2015-07-28,9:30,16:30,7
2015-07-29,9:00,19:00,10
2015-07-30,9:30,17:30,8
2015-07-31,9:30,15:30,6
2015-08-3,9:30,17:30,8
2015-08-4,9:30,16:30,7
2015-08-5,9:30,16:30,7
2015-08-6,9:30,16:30,7
2015-08-7,9:30,15:30,6
2015-08-10,9:30,15:30,6
2015-08-11,9:30,15:30,6
2015-08-12,9:30,15:30,6
2015-08-13,9:30,15:30,6
2015-08-14,9:30,15:10,5.66666666667
