player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
Russell Westbrook,OKC,67,34.4,9.4,22.0,.426,1.3,4.3,.299,8.1,9.8,.835,4.4,2.7,1.9,5.4,7.3,8.6,2.1,28.1
James Harden,HOU,81,36.8,8.0,18.1,.440,2.6,6.9,.375,8.8,10.2,.868,4.0,2.6,0.9,4.7,5.7,7.0,1.9,27.4
LeBron James,CLE,69,36.1,9.0,18.5,.488,1.7,4.9,.354,5.4,7.7,.710,3.9,2.0,0.7,5.3,6.0,7.4,1.6,25.3
Anthony Davis,NOP,68,36.1,9.4,17.6,.535,0.0,0.2,.083,5.5,6.8,.805,1.4,2.1,2.5,7.7,10.2,2.2,1.5,24.4
DeMarcus Cousins,SAC,59,34.1,8.4,18.1,.467,0.0,0.1,.250,7.2,9.2,.782,4.3,4.1,3.1,9.5,12.7,3.6,1.5,24.1
Stephen Curry,GSW,80,32.7,8.2,16.8,.487,3.6,8.1,.443,3.9,4.2,.914,3.1,2.0,0.7,3.6,4.3,7.7,2.0,23.8
LaMarcus Aldridge,POR,71,35.4,9.3,19.9,.466,0.5,1.5,.352,4.3,5.1,.845,1.7,1.8,2.5,7.7,10.2,1.7,0.7,23.4
Blake Griffin,LAC,67,35.2,8.6,17.1,.502,0.1,0.4,.400,4.6,6.4,.728,2.3,2.9,1.9,5.7,7.6,5.3,0.9,21.9
Kyrie Irving,CLE,75,36.4,7.7,16.5,.468,2.1,5.0,.415,4.2,4.9,.863,2.5,1.9,0.7,2.4,3.2,5.2,1.5,21.7
Klay Thompson,GSW,77,31.9,7.8,16.9,.463,3.1,7.1,.439,2.9,3.3,.879,1.9,1.6,0.4,2.9,3.2,2.9,1.1,21.7
Rudy Gay,SAC,68,35.4,7.5,16.4,.455,1.2,3.2,.359,5.0,5.8,.858,2.7,2.3,1.4,4.4,5.9,3.7,1.0,21.1
Damian Lillard,POR,82,35.7,7.2,16.6,.434,2.4,7.0,.343,4.2,4.9,.864,2.7,2.0,0.6,4.0,4.6,6.2,1.2,21.0
Jimmy Butler,CHI,65,38.7,6.5,14.0,.462,1.1,3.0,.378,5.9,7.1,.834,1.4,1.7,1.8,4.1,5.8,3.3,1.8,20.0
Nikola Vucevic,ORL,74,34.2,8.5,16.3,.523,0.0,0.1,.333,2.2,2.9,.752,2.0,3.0,3.2,7.7,10.9,2.0,0.7,19.3
Gordon Hayward,UTA,76,34.4,6.4,14.3,.445,1.6,4.3,.364,4.9,6.1,.812,2.7,1.7,0.7,4.2,4.9,4.1,1.4,19.2
Chris Paul,LAC,82,34.8,6.9,14.3,.485,1.7,4.3,.398,3.5,3.9,.900,2.3,2.5,0.6,4.0,4.6,10.2,1.9,19.1
Monta Ellis,DAL,80,33.7,7.5,16.9,.445,1.0,3.5,.285,2.9,3.8,.752,2.5,2.5,0.4,1.9,2.4,4.1,1.9,18.9
Pau Gasol,CHI,78,34.4,7.3,14.8,.494,0.2,0.3,.462,3.8,4.7,.803,2.0,1.9,2.8,9.0,11.8,2.7,0.3,18.5
Victor Oladipo,ORL,72,35.7,6.6,15.1,.436,1.2,3.4,.339,3.6,4.4,.819,2.8,2.6,0.7,3.5,4.2,4.1,1.7,17.9
Kyle Lowry,TOR,70,34.5,6.1,14.9,.412,1.9,5.6,.338,3.6,4.5,.808,2.5,3.0,0.8,3.9,4.7,6.8,1.6,17.8
John Wall,WAS,79,35.9,6.6,14.8,.445,0.8,2.7,.300,3.6,4.6,.785,3.8,2.3,0.5,4.2,4.6,10.0,1.7,17.6
Marc Gasol,MEM,81,33.2,6.5,13.2,.494,0.0,0.2,.176,4.3,5.4,.795,2.2,2.6,1.4,6.4,7.8,3.8,0.9,17.4
Dirk Nowitzki,DAL,77,29.6,6.3,13.8,.459,1.4,3.6,.380,3.3,3.8,.882,1.1,2.1,0.6,5.4,5.9,1.9,0.5,17.3
Brook Lopez,BRK,72,29.2,7.0,13.7,.513,0.0,0.1,.100,3.1,3.8,.814,1.4,2.9,3.0,4.5,7.4,0.7,0.6,17.2
Eric Bledsoe,PHX,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.4,5.4,.800,3.4,2.3,0.9,4.3,5.2,6.1,1.6,17.0
Andrew Wiggins,MIN,82,36.2,6.1,13.9,.437,0.5,1.5,.310,4.3,5.7,.760,2.2,2.3,1.6,2.9,4.6,2.1,1.0,16.9
